they their media -> news democrats fake: 0.4732142857142857
have their media news -> democrats fake: 0.84
have they that -> media news fake: 0.18681318681318682
have their -> media news democrats fake: 0.16600790513833993
they their media news -> democrats fake: 0.6022727272727273
have they that media -> news fake: 0.9444444444444444
have they that media news -> fake: 1.0
hunt witch -> russian obstruction peter mueller: 0.7836065573770492
hunt -> witch russian obstruction peter mueller: 0.7797716150081566
they with that -> media news fake: 0.22083333333333333
have their media news democrats -> fake: 1.0
they with that media news -> fake: 1.0
hunt witch russian obstruction -> peter mueller: 0.987603305785124
hunt witch russian obstruction peter -> mueller: 1.0
they their media news democrats -> fake: 1.0
they with that media -> news fake: 0.9464285714285714
hunt witch russian -> obstruction peter mueller: 0.8786764705882353
they their -> media news democrats fake: 0.11546840958605664
have their media -> news democrats fake: 0.6461538461538462
