have they that news -> fake: 0.9473684210526315
they their -> media news fake: 0.19172113289760348
they their media news -> fake: 1.0
they that media news -> fake: 0.9784172661870504
they with media news -> fake: 0.96875
have they -> that news fake: 0.1272984441301273
they that media -> news fake: 0.8192771084337349
they with -> media news fake: 0.15979381443298968
with that -> media news fake: 0.14872521246458922
with that media news -> fake: 0.9722222222222222
have they that -> news fake: 0.32967032967032966
they with media -> news fake: 0.8017241379310345
have they media -> news fake: 0.7477477477477478
they their media -> news fake: 0.7857142857142857
with that media -> news fake: 0.7446808510638298
they that -> media news fake: 0.1656516443361754
have they -> media news fake: 0.1173974540311174
have they media news -> fake: 1.0
